City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Ahuatempan,MX,18.4167,-98.0167,64.96,64,100,2.48,overcast clouds
79,Vaini,TO,-21.2,-175.2,77.16,83,75,11.5,light rain
80,Husavik,IS,66.0449,-17.3389,28.06,85,100,8.59,overcast clouds
81,Narsaq,GL,60.9167,-46.05,35.82,97,100,6.06,light rain
82,Clyde River,CA,70.4692,-68.5914,25.03,100,100,10.36,light snow
83,Lagoa,PT,39.05,-27.9833,64.17,62,100,28.14,overcast clouds
84,Tosno,RU,59.54,30.8775,40.84,95,100,3.6,overcast clouds
85,Codajas,BR,-3.8367,-62.0569,78.22,89,97,2.71,overcast clouds
86,Matamoros,MX,25.5333,-103.25,78.91,31,40,4.61,scattered clouds
87,Bluff,NZ,-46.6,168.3333,56.8,65,93,11.03,overcast clouds
88,Te Anau,NZ,-45.4167,167.7167,59.83,59,9,4.16,clear sky
89,Coahuayana,MX,18.7333,-103.6833,75.22,93,100,3.38,light rain
90,Toccoa,US,34.5773,-83.3324,53.17,71,0,0.0,clear sky
91,Valdivia,CL,-39.8142,-73.2459,48.29,82,0,3.11,clear sky
92,Saint George,US,37.1041,-113.5841,78.44,20,0,8.05,clear sky
93,Ahipara,NZ,-35.1667,173.1667,63.03,59,74,10.63,broken clouds
94,Bagnols-Sur-Ceze,FR,44.1599,4.6178,69.35,82,100,0.0,overcast clouds
95,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,10.36,scattered clouds
96,Barrow,US,71.2906,-156.7887,26.62,86,100,23.02,overcast clouds
97,Chuy,UY,-33.6971,-53.4616,56.77,97,8,6.73,clear sky
98,Bambanglipuro,ID,-7.95,110.2833,80.22,79,100,1.77,overcast clouds
99,Lompoc,US,34.6391,-120.4579,64.54,86,100,8.05,overcast clouds
100,Elat,IL,29.5581,34.9482,69.64,88,20,6.91,few clouds
101,Isangel,VU,-19.55,169.2667,77.45,71,100,17.11,overcast clouds
102,Olinda,BR,-8.0089,-34.8553,77.18,79,17,10.96,few clouds
103,Longyearbyen,SJ,78.2186,15.6401,24.64,63,0,21.85,clear sky
104,Srednekolymsk,RU,67.45,153.6833,14.49,94,100,11.21,light snow
105,Shonguy,RU,68.7526,33.146,30.27,93,75,6.71,light shower snow
106,Poya,NC,-21.35,165.15,79.56,60,98,8.39,overcast clouds
107,Watsa,CD,3.0372,29.5355,62.78,99,100,1.21,overcast clouds
108,Lata,PT,40.1629,-8.3327,60.08,93,31,6.02,scattered clouds
109,Hammerfest,NO,70.6634,23.6821,39.65,81,100,9.22,light rain
110,Tyrma,RU,50.0833,132.1667,35.96,55,100,3.53,overcast clouds
111,Fairbanks,US,64.8378,-147.7164,34.09,95,100,9.22,light snow
112,Flinders,AU,-34.5833,150.8552,72.05,85,100,9.78,overcast clouds
113,Prieska,ZA,-29.6641,22.7474,67.89,69,100,1.52,overcast clouds
114,Beira,MZ,-19.8436,34.8389,74.52,87,28,7.61,scattered clouds
115,Hofn,IS,64.2539,-15.2082,38.14,65,56,5.53,broken clouds
