City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
24,92,Saint George,US,78.44,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
25,95,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
26,98,Bambanglipuro,ID,80.22,overcast clouds,-7.95,110.2833,Puri Brata
27,101,Isangel,VU,77.45,overcast clouds,-19.55,169.2667,Tanna Lodge
28,102,Olinda,BR,77.18,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
29,106,Poya,NC,79.56,overcast clouds,-21.35,165.15,
30,123,Butaritari,KI,81.25,clear sky,3.0707,172.7902,Isles Sunset Lodge
31,126,Hobyo,SO,77.81,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
32,130,Port Blair,IN,77.04,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
33,133,Acarau,BR,78.46,scattered clouds,-2.8856,-40.12,castelo pizzaria
34,134,Kattivakkam,IN,78.89,overcast clouds,13.2167,80.3167,Euronova Freezer
35,145,Sitio Novo Do Tocantins,BR,79.66,scattered clouds,-5.5183,-47.4611,Imperial Hotel
36,155,Cockburn Town,TC,83.03,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
37,160,Georgetown,MY,81.9,scattered clouds,5.4112,100.3354,Cititel Penang
38,170,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
39,171,Sun City,US,85.35,few clouds,33.5975,-112.2718,Days Hotel by Wyndham Peoria Glendale Area
40,178,Bonthe,SL,76.1,moderate rain,7.5264,-12.505,Bonthe Holiday Village
41,179,Riberalta,BO,82.51,overcast clouds,-10.9833,-66.1,Hotel Colonial
42,187,Vila Velha,BR,75.94,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
43,192,Dingle,PH,84.27,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
44,199,Karratha,AU,82.11,clear sky,-20.7377,116.8463,ibis Styles Karratha
45,204,Bengkulu,ID,77.88,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
46,205,Pokaran,IN,75.2,clear sky,26.9167,71.9167,Motel Pokaran - RTDC
47,207,Hays,US,76.06,clear sky,30.0502,-98.0336,CHAPEL HOME
48,209,Gladstone,AU,76.78,broken clouds,-23.85,151.25,Highpoint International Hotel
49,212,Meulaboh,ID,76.15,overcast clouds,4.1363,96.1285,Kost Pria
50,218,Tabuk,PH,80.51,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
51,219,Mount Isa,AU,86.49,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
52,220,Bandarbeyla,SO,77.0,broken clouds,9.4942,50.8122,JABIR HOTEL
53,224,Guatire,VE,78.21,scattered clouds,10.4762,-66.5427,Parque Residencial Canaima I
54,229,Faanui,PF,79.74,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
55,233,Atar,MR,87.75,clear sky,20.5169,-13.0499,Oumou Elghoura
56,237,Kirakira,SB,82.74,overcast clouds,-10.4544,161.9205,SanBiz Lodge
57,244,Ambon,ID,87.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
58,248,Waingapu,ID,85.75,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
59,252,Champerico,GT,80.92,light rain,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
60,259,Porto Nacional,BR,84.99,few clouds,-10.7081,-48.4172,Vila Real Hotel
61,261,Soyo,AO,76.37,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
62,266,Korampallam,IN,77.29,mist,8.7667,78.1,Regency Tuticorin by GRT Hotels
63,269,Machilipatnam,IN,75.22,few clouds,16.1667,81.1333,R&B Bungalow
64,275,Marang,MY,82.96,overcast clouds,5.2056,103.2059,DBarakah Homestay
65,280,Kloulklubed,PW,84.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
66,283,Alofi,NU,80.49,overcast clouds,-19.0595,-169.9187,Taloa Heights
67,284,Cabo San Lucas,MX,83.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
68,287,Mitsamiouli,KM,75.69,few clouds,-11.3847,43.2844,Foyer ADM
69,293,Marawi,PH,81.19,overcast clouds,7.9986,124.2928,Derogongan Residence
70,297,Kawalu,ID,82.58,overcast clouds,-7.3817,108.2082,West Jontor
71,298,Kudahuvadhoo,MV,81.82,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
72,300,Ixtapa,MX,83.43,overcast clouds,20.7,-105.2,hotel la terminal
73,302,Ratnagiri,IN,78.87,broken clouds,16.9833,73.3,Hotel Landmark
74,303,Pecos,US,78.3,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
75,305,Guanica,PR,77.97,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
76,307,Tharad,IN,75.15,clear sky,24.3961,71.6267,Suresh Parmar
77,309,Freetown,SL,77.22,overcast clouds,8.484,-13.2299,The Country Lodge Hotel
78,313,Tiarei,PF,77.81,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
79,317,Omboue,GA,75.79,light rain,-1.5746,9.2618,Hotel Olako
80,318,Galle,LK,77.09,overcast clouds,6.0367,80.217,Amangalla
81,321,Tiznit,MA,76.17,broken clouds,29.5833,-9.5,
82,322,Kushima,JP,76.8,scattered clouds,31.4583,131.2333,Hanaoka
83,326,Sao Filipe,CV,78.58,few clouds,14.8961,-24.4956,Hotel Xaguate
84,329,Harper,LR,75.96,overcast clouds,4.375,-7.7169,Screensaver
85,340,Sulangan,PH,83.34,overcast clouds,11.1373,123.7228,Maia's Beach Resort
86,344,Weligama,LK,76.84,overcast clouds,5.9667,80.4167,Weligama Bay Resort
