City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
298,Kudahuvadhoo,MV,81.82,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
300,Ixtapa,MX,83.43,overcast clouds,20.7,-105.2,hotel la terminal
302,Ratnagiri,IN,78.87,broken clouds,16.9833,73.3,Hotel Landmark
303,Pecos,US,78.3,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
305,Guanica,PR,77.97,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
307,Tharad,IN,75.15,clear sky,24.3961,71.6267,Suresh Parmar
309,Freetown,SL,77.22,overcast clouds,8.484,-13.2299,The Country Lodge Hotel
313,Tiarei,PF,77.81,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
317,Omboue,GA,75.79,light rain,-1.5746,9.2618,Hotel Olako
318,Galle,LK,77.09,overcast clouds,6.0367,80.217,Amangalla
321,Tiznit,MA,76.17,broken clouds,29.5833,-9.5,
322,Kushima,JP,76.8,scattered clouds,31.4583,131.2333,Hanaoka
326,Sao Filipe,CV,78.58,few clouds,14.8961,-24.4956,Hotel Xaguate
329,Harper,LR,75.96,overcast clouds,4.375,-7.7169,Screensaver
340,Sulangan,PH,83.34,overcast clouds,11.1373,123.7228,Maia's Beach Resort
344,Weligama,LK,76.84,overcast clouds,5.9667,80.4167,Weligama Bay Resort
348,Labrea,BR,75.97,moderate rain,-7.2586,-64.7981,Hotel Novo Horizonte
349,Sabang,ID,81.23,light rain,5.8933,95.3214,Hotel Citra
357,Hambantota,LK,78.44,overcast clouds,6.1241,81.1185,Bungalow 63
358,San Patricio,US,75.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
361,Mecca,SA,79.47,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
362,Labuhan,ID,83.82,light rain,-6.8844,112.2051,DoubleFAG
364,Cayenne,GF,77.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
367,Namatanai,PG,83.37,light rain,-3.6667,152.4333,Seagulls Inn Namatani
368,Tautira,PF,77.54,light rain,-17.7333,-149.15,Pension Oaoa
369,Saint-Louis,SN,84.88,clear sky,16.3333,-15.0,
370,Maceio,BR,76.14,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
385,Luwuk,ID,88.23,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
392,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
398,Oeiras,BR,83.97,overcast clouds,-7.0253,-42.1311,Hotel SESC Oeiras
407,Mangrol,IN,77.49,clear sky,21.1167,70.1167,Hotel The Royal Honours
411,Wanning,CN,78.67,scattered clouds,18.8003,110.3967,Paradise Hotel
417,Bani,DO,81.86,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
422,Kidal,ML,77.92,broken clouds,18.4411,1.4078,
424,Razole,IN,77.2,clear sky,16.4833,81.8333,Sterling Palavelli Godavari
425,Palimbang,PH,86.61,overcast clouds,6.2106,124.1894,Felmar Beach resort
426,Takoradi,GH,76.55,overcast clouds,4.8845,-1.7554,Raybow International Hotel
